Frame,Front_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
141,15.548222315308736,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
142,15.510274719788773,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
143,15.559354226020893,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
144,15.568479269514865,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
145,15.527098264526447,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
146,15.51337256395936,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
147,15.55802678872811,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
148,15.54678152313315,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
149,15.569692897631306,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
150,15.568768211428889,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
151,15.564377451471533,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
152,15.542230374446483,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
153,15.555026460913133,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
154,15.50030118812247,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
155,15.553526730918273,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
156,15.567496947225036,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
157,15.542287967272404,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
158,15.54770359936242,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
159,15.532158198785366,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
160,15.543900739708564,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
161,15.5690571640683,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
162,15.497265821288167,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
163,15.55231562163966,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
164,15.5443039851165,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
165,15.525144172755606,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
166,15.581318632331307,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
167,15.55070110263312,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
168,15.540905857244487,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
169,15.55739200747769,9265,,52.687,53.062,53.062,0.7163240648613625,2,2,3,2,1,68
170,15.474110229364737,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
171,15.554968773642283,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
172,15.569692897631306,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
173,15.559354226020893,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
174,15.580566194033455,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
175,15.50884095161326,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
176,15.560335520921829,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
177,15.543497515221814,9265,,53.093,53.031,53.093,0.7163553339720433,3,0,3,3,0,68
178,15.472340676690619,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
179,15.552257954473824,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
180,15.540675529471047,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
181,15.5492598510434,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
182,15.530605368297497,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
183,15.549432787128346,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
184,15.556757278024428,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
185,15.550009268527788,9225,,52.968,53.406,53.406,0.7160939037024164,2,2,0,3,0,69
186,15.46988680581425,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
187,15.562760427295563,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
188,15.557622831029903,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
189,15.56224074087816,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
